Short name,Official name,English name ,Municipality ,Address,Coordinates,URL,Designated,Criteria,Description,Short description,Object type,Construction year,Architect
Oficirski paviljoni,Graditeljska cjelina – Oficirski paviljoni u Sarajevu,"Officers' Pavilions, the architectural ensemble",Sarajevo - Novo Sarajevo,"Koste Hermana, Franje Račkog, Vilsonovo šetalište, 71000 Sarajevo","43.8539073 N
18.4043434 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3305?return=&page=3&search=idgrad:undefined:86|,26/10/2010,"A, C(iii,iv), D(iii), F(ii,iii), G(i,iii,v), H(ii), I(i,ii,iii)","Graditeljska cjelina od ukupno pet stambenih objekata projektovana je u duhu secesije i predstavlja značajan primjer stambene gradnje u monumentalnoj kompoziciji slobodnostojećih palata iz austrougarskog perioda u Bosni i Hercegovini. Pored toga, to je najveća stambena cjelina izgrađena u duhu secesije sa primjesama istoricizma, koja ima veliku ambijentalnu vrijednost u sklopu centralnog gradskog kvarta Marijin Dvor. Svi objekti se nalaze u vrlo dobrom konstruktivnom stanju, ali su fasade i krovovi pojedinih građevina oštećene usljed posljedica granatiranja tokom zadnjeg rata u Bosni I Hercegovini. Na pojedinim objektima izvršene su neprimjerene dogradnje koje umanjuju ambijentalnu vrijednost cjeline, a zelene površine se ne održavaju i koriste se kao improvizovani parking.",Graditeljska cjelina od ukupno pet stambenih objekata projektovana je u duhu secesije i predstavlja značajan primjer stambene gradnje iz austrougarskog perioda u Bosni i Hercegovini.,Stambeni objekti,Između 1909. i 1914. godine,Rudolf Tönnies
Palata Ješue D. Saloma,Istorijska građevina – Palata Ješue D. Saloma na Obali Kulina bana 20 u Sarajevu,"Ješua D. Salom Mansion at no. 20 Obala Kulina bana, the historic building",Sarajevo - Stari Grad ,"Obala Kulina bana br. 20, 71000 Sarajevo","43.8569525 N
18.4253207 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3052?return=&page=3&search=idgrad:undefined:86|,5/11/2008,"A, B, C(i,ii,iii,iv,v), D(iii,iv), F(ii), G(i,ii,v), H(iii), I(i,iii)","Objekat se nalazi u nizu između objekata građenih tokom austrougarskog perioda, a sa suprotne obale Miljacke pozicioniran je objekat Aškenaskog hrama. Gradnja ovog objekta predstavlja jedan od najranijih primjera reprezentativne gradnje u stilu secesije floralnih motiva, a za potrebe porodičnog stanovanja. Fasada južnog pročelja, usmjerenog prema rijeci miljacki otkriva karakteristični metod za to vrijeme da se dekoracija pročelja razvija odozdo prema gore, a glavni akcenat je dat na centralno postavljeni široki ispust u obliku lože iznad kojeg se nalazi balkon i kupola. Redovno održavanje unutrašnjosti objekta u kojem je sada kancelarijski prostor je na zadovoljavajućem nivou, a tokom posljednje intervencije iz 2008. godine sanirana je i konstrukcija krova kao i pokrov","Gradnja ovog objekta predstavlja jedan od najranijih primjera reprezentativne gradnje u stilu secesije floralnih motiva, a za potrebe porodičnog stanovanja.",Stambeni objekat,1901. godina,Josip pl. Vancaš
Musafija,Istorijska građevina – Palata Musafija u Sarajevu,"Musafija Palace, the historic building",Sarajevo - Centar ,"Maršala Tita br. 32, 71000 Sarajevo","43.8586744 N
18.417508 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3006?return=&page=3&search=idgrad:undefined:86|,30/1/2008,"A, B, C(i,ii,iii,iv,v), D(iii,iv), F(i,ii,iii), G(i,ii,iii,v), H(ii,iii), I(i,ii,iii)","Palata Musafija pripada zadnjoj fazi razvoja stambene arhitekture austrougarskog perioda u Sarajevu. Sa susjednim palatama u ulici Maršala Tita gradi ambjentalnu cjelinu. Palata pripada grupi stambeno-poslovnih palata izgrađenih u nizu sa atrijumom/unutrašnjim dvorištem. Objekat ima simetričnu kompoziciju. Radove na izgradnji objekta vršila je firma „Jungwirht“ za vlasnike Arona i Isaka Musafiju. Arhitekta Josip Pospišil bio je pobornik bosanskog sloga, tako da je i palata Musafija projektovana pod jakim uticajem lokalne arhitekture. Godine 2006. se pristupilo izradi projekta restauracije fasada objekta od strane Kantonalnog zavoda za zaštitu kulturno-istorijskog i prirodnog nasljeđa Sarajevo, a naredne 2007. godine vrši se realizacija ovog projekta.",Palata pripada grupi stambeno-poslovnih palata izgrađenih u nizu sa atrijumom/unutrašnjim dvorištem. Objekat ima simetričnu kompoziciju.,Stambeno-poslovni objekat,1913. godina,Josip Pospišil
Crkva Svetog Save,Graditeljska cjelina – pravoslavna crkva Sv. Save u Blažuju zajedno sa grobljem,"Serb Orthodox Church of St. Sava in Blažuj with burial ground, the architectural ensemble",Ilidža,"Magistrala br. 21, 71215 Blažuj","43.830673 N
18.273970 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2557?return=&page=3&search=idgrad:undefined:86|,3/5/2005,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii,iii,iv,v), E(i,ii,iii,iv,v,vi), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), I(i,ii,iii,iv)","Crkva Svetog Save u Blažuju ima osnovu u obliku slobodnog grčkog krsta i projektovana je u neovizantijskom stilu. Unutrašnjost crkve nije oslikana. Iznad centralnog dijela crkve izdiže se kupola na tamburu. U funkcionalnom smislu crkva je podijeljena na prostor priprate, naosa, oltara i galerije za hor. Ikonostas u crkvi izrađen je dvadesetih godina XX vijeka. Fasada crkve je raščlanjena lizenama koje završavaju naglašenim arkadnim frizovima, što je odlika raške arhitekture. Godine 2004. izvedeni su radovi na obnovi bez odgovarajuće projektne dokumentacije i uz određene degradacije, kakve su gletovanje enterijera i odabir boje fasade. ",Crkva Svetog Save u Blažuju ima osnovu u obliku slobodnog grčkog krsta i projektovana je u neovizantijskom stilu.,Sakralni objekat (crkva),1897. godina,August Butscha
Mitropolija,Istorijska građevina – Pravoslavna Mitropolija u Sarajevu zajedno sa pokretnim nasljeđem,"Orthodox Metropolitan's Palace, together with its movable heritage, the historic building",Sarajevo - Stari Grad ,"Zelenih beretki br. 1, 71000 Sarajevo","43.858196 N
18.425570 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2861?return=&page=3&search=idgrad:undefined:86|,5/9/2006,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii,iii), E(i,ii,iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i,ii,iii), I(i,ii,iii,iv)","Palata Mitropolije je rezidencijalno-poslovna zgrada sa likovno-arhitektonskim rješenjima fasada u stilu srpsko-vizantijske i neoromanske arhitekture. Elementi primjenjeni za plastičnu dekoraciju fasadnih platana I i II sprata su: lezene, stubići, polukružni luci, kordon vijenci, lučne niše, slijepe arkade i frizovi slijepih arkadica. Svi prozorski otvori na zapadnoj i južnoj fasadi palate imaju polukružne završetke. Na prvom spratu smješteni su reprezentativni saloni. Objekat se nalazi u dobrom stanju. Upoređujući postojeće stanje objekta u odnosu na originalni projekat od septembra-decembra 1898. godine, koje je potpisao arhitekta Rudolf Tönnies, može se zaključiti da objekat nije doživio značajnije izmjene.",Palata Mitropolije je rezidencijalno-poslovna zgrada sa likovno-arhitektonskim rješenjima fasada u stilu srpsko-vizantijske i neoromanske arhitekture.,Stambeno-poslovni objekat,1899. godina,Rudolf Tönnies
Rimske iskopine na Ilidži,Arheološko područje – Rimske iskopine na Ilidži kod Sarajeva,"Roman remains at Ilidža, the archaeological site",Ilidža,"Hrasnička cesta, Lužani, Ilidža 71210","43.825614 N
18.3054703 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2498?return=&page=3&search=idgrad:undefined:86|,30/8/2004,"A, B, C(iv,vi), D(i,ii), F(iii), G(i,ii,v), H(i)","Na intenzivniji razvoj naselja na Ilidži u rimskom periodu uticala je važna komunikacija koja je iz Narone, dolinom rijeke Neretve, pored Boračkog jezera, Konjica i Ivan-sedla vodila u Sarajevsko polje i dalje nastavljala prema Drini. Postojanje sumpornog vrela imalo je veliki značaj za postepeno prerastanje rimskog naselja seoskog tipa (vicus) u urbanu cjelinu, sa jasno izdvojenim banjskim sadržajima, u I vijeku n.e. U prilog ovome govori i rimski natpis Aquae S...(Banja S...), pronađen 1936. godine. Arheološka istraživanja su pokazala da je naselje uz termalno vrelo bilo razvijeno već krajem 1. vijeka. Značajniji razvoj doživljava tokom 2., 3. i 4. vijeka i traje u kontinuitetu do 6. vijeka. Termalni komleks, kao središte naselja, izgrađen je u 2. i 3. vijeku. U objekte iz rimskog perioda na lokalitetu Ilidže spadaju: - kompleks stambenih vila oko hotela Bosna (sa objektom 1), - villa urbana (objekat A), - objekat nepoznate namjene, neistražen, (objekat B), - hospitalium i hospitium, (objekat C).","Arheološka istraživanja su pokazala da je naselje uz termalno vrelo bilo razvijeno već krajem 1. vijeka. Značajniji razvoj doživljava tokom 2., 3. i 4. vijeka i traje u kontinuitetu do 6. vijeka.",Arheološko područje,Od I vijeka do VI vijeka,/
Saborna crkva,Istorijska građevina - Saborna crkva (Crkva Presvete Bogorodice) sa pokretnim naslijeđem u Sarajevu,"Orthodox Cathedral church (church of the Holy Mother of God) with movable heritage, the historic building",Sarajevo - Stari Grad ,"Zelenih beretki br. 1, 71000 Sarajevo","43.8582313 N
18.4249069 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2842?return=&page=3&search=idgrad:undefined:86|,5/7/2005,"A, B, C(i,ii,iii,iv,v,iv), D(i,ii,iii,iv,v), E(i,ii,iii,iv), F(i,ii), G(i,ii,iii,iv,v,vi), I(i,ii,iii,iv)","Saborna crkva Roždestva Presvete Bogorodice u Sarajevu je jedna od najvećih pravoslavnih crkava na prostorima Balkana. Prema konceptu prostorne organizacije, Saborna crkva pripada tipu trobrodne crkve sa pripratom, naosom i oltarskim prostorom. U arhitektonskom smislu, crkva je građena u neoklasičnom stilu, pravougaone osnove sa pet neovizantijskih kupola na visokim tamburima, polukružnom apsidom, klasičnim prozorima sa vitražima postavljenim u dva horizontalana reda i velikim baroknim zvonikom. Zidovi crkve nisu oslikani scenama iz Starog i Novog zavjeta, nego je na njima, u seko tehnici, urađena različita floralna i geometrijska ornamentika. Crkva je orjentisana u smjeru istok – zapad, gdje se ulaz u objekt nalazi na zapadnoj, a apsida na istočnoj strani objekta.","Prema konceptu prostorne organizacije, Saborna crkva pripada tipu trobrodne crkve sa pripratom, naosom i oltarskim prostorom. U arhitektonskom smislu, crkva je građena u neoklasičnom stilu.",Sakralni objekat (crkva),1868. godina,Andrija Damjanov
Saburina kuća,Stambena cjelina Saburina kuća u Sarajevu,"Sabura house, the residential ensemble",Sarajevo - Stari Grad ,"Saburina br. 6, Kovači, 71000 Sarajevo","43.8638137 N
18.4357346 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2828?return=&page=3&search=idgrad:undefined:86|,23/5/2006,"A, B, C(iii,iv,v), D(iv,v), F(i,ii,iii), G(iii,iv,v), I(i,iii)","Saburina kuća je izgrađena namjenski kao porodična kuća Sabura, stare sarajevske esnafske porodice kazandžija i trgovaca kazandžijskom robom. Saburina kuća je prvobitno bila izgrađena kao stambeni kompleks koji se sastojao od više objekata: ženske i muške kuće, zatim dvorišta, bašte i pomoćnih objekata. Ženski dio kuće je potpuno propao nakon 1918. godine. Neki dijelovi enterijera iz ovog objekta preneseni su u etnografski dio Zemaljskog muzeja u Sarajevu. Danas je od čitavog kompleksa Saburine kuće ostao samo jedan objekt, tzv. muški dio sa dvorištem, koji je sagrađen oko 1750. godine.","Saburina kuća je izgrađena namjenski kao porodična kuća Sabura, stare sarajevske esnafske porodice kazandžija i trgovaca kazandžijskom robom.",Stambeni objekat (porodična kuća),XVII vijek (pretpostavka),Arhitekta nepoznat
Sahat-kula,Istorijski spomenik – Sahat-kula u Sarajevu,"Clock tower, the historic monument",Sarajevo - Stari Grad ,"Mudželeti veliki br. 15, Baščaršija, 71000 Sarajevo","43.8591985 N
18.428518 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2847?return=&page=3&search=idgrad:undefined:86|,5/7/2006,"A, B, C(i,ii), D(iv), E(iii,v), F(iii,iv,v), G(i,iii,iv)","Najstariji pomen sarajevske sahat kule se nalazi u jednom djelu Čatib Čelebije, turskog geografa iz prve polovine XVII vijeka. Između ostalog, on tu kaže da kod Husrev-begove džamije postoji sahat sa zvonom. U navali princa Eugena Savojskog 1697. godine kula je zapaljena, što je vidljivo iz jednog hudžeta (rukopisa) napisanog trideset godina kasnije. Godine 1831. ponovo je stradala, ali je popravljena 1832. godine. Današnji časovni mehanizam je nabavljen 1875. godine u Londonu. Časovnik na Sahat-kuli pokazuje vrijeme prema lunarnom računanju vremena. Podešavanje časovnika je dužnost muvekita koji, na osnovu tačnog određivanja vremena zalaska sunca, vrši potrebno korigovanje brojčanika na Sahat-kuli. Kada nastane zalazak sunca, ova Sahat-kula treba da pokazuje 12 časova. Gazi Husrev-begova sahat-kula je popravljana i 1931. i 1955. godine, te   nakon rata u Bosni i Hercegovini 1992-95, kada je pretrpjela manja oštećenja.","Časovnik na Sahat-kuli pokazuje vrijeme prema lunarnom računanju vremena. Kada nastane zalazak sunca, ova Sahat-kula treba da pokazuje 12 časova.",Javni objekat,XVII vijek (pretpostavka),Arhitekta nepoznat
Salomova palata,Istorijska građevina – Salomova palata u Sarajevu,"Salom’s Palace, the historic building",Sarajevo - Centar ,"Maršala Tita br. 54, 71000 Sarajevo","43.8584981 N
18.4206571 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3008?return=&page=3&search=idgrad:undefined:86|,30/1/2008,"A, B, C(i,ii,iii,iv,v), D(iii,iv), E(v), F(i,ii,iii), G(i,ii,iii,v), I(i,ii,iii)","Od izgradnje pa do danas građevina ne mijenja svoju stambeno-poslovnu funkciju. Tokom svjetskih ratova, kao i tokom zadnjeg rata u BiH nisu zabilježena značajnija oštećenja na objektu. Godine 1949. na zapadnom krilu pročelja dograđuju se stambeni prostori iznad mansarde. Nakon toga, u jugozapadnom dijelu unutrašnjeg dvorišta izvodi se stambeni objekat koji se oslanja na vanjski zapadni zid južnog bloka. Tokom druge polovine XX vijeka vršeni su radovi redovnog održavanja objekta, uključujući fasade. Fasada pročelja nosi reljefnu figuralnu dekoraciju koja predstavlja likove u različitim narodnim nošnjama Bosne i Hercegovine. Svaka od ovih figura predstavlja vrijedno skulptorsko djelo.",Od izgradnje pa do danas građevina nije promjenila svoju stambeno-poslovnu funkciju iako je u više navrata adaptirana.,Stambeno-poslovni objekat,1912. godina,Rudolf Tönnies
Baščaršija,Istorijsko gradsko područje – Sarajevska čaršija,Historical urban site – Sarajevo čaršija ,Sarajevo - Stari Grad ,Baščaršija,"43.8597245 N
18.4311152 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3821?return=&page=3&search=idgrad:undefined:86|,2/4/2014,Decision is not available online ,"Nacionalni spomenik se nalazi u prostornom obuhvatu između Šeher-ćehajine ćuprije i područja Isa-begove zavije na istoku, Ferhadije džamije na zapadu, Careve džamije i Konaka na jugu, Stare pravoslavne crkve na sjeveru i Kovača na sjeveroistoku. Baščaršija je svoj najveći uspon dostigla u drugoj polovini 16. vijeka. Postojalo je 80 raznih vrsta zanata, organizovanih u jake cehovske organizacije. Čaršija je bila podijeljena po ovim zanatima tako da bi u svakoj ulici bili dućani za jedan ili više srodnih zanata. Na Baščaršiji su izgrađeni sakralni objekti sve četiri konfesije zastupljene u Sarajevu, bezistani, hamami, hanovi, dućani i niz drugih objekata koji imaju kulturno-istorijsku vrijednost.","Baščaršija je svoj najveći uspon dostigla u drugoj polovini 16. vijeka. Postojalo je 80 raznih vrsta zanata, organizovanih u jake cehovske organizacije.","Ambijentalna cjelina, istorijsko gradsko područje",Različiti istorijski periodi počev od XV vijeka.,/
Šeher-ćehajina ćuprija,Istorijski spomenik - Šeher-ćehajina ćuprija u Sarajevu,"Šeher Ćehaja's bridge, the historic monument",Sarajevo - Stari Grad ,"Baščaršija, 71000 Sarajevo(Most spaja dvije obale Miljacke; Obalu Kulina bana i Obalu Isa-bega Ishakovića, odnosno dvije ulice; Telali i Šeher-ćehajina čikma.) ","43.8586956 N
18.4340432 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2524?return=&page=4&search=idgrad:undefined:86|,26/1/2005,"B, C(iv), F(ii), G(i,ii,v), I(i,ii,iii)","Za izgradnju Šeher-Ćehajine ćuprije, koja povezuje Nadmline i Alifakovac vezano je nekoliko predanja i legendi. Naziv mosta ukazuje na njegovog graditelja – šeher-ćehaju (gradonačelnika) Huseina Hodžića. Most je izveden od nekoliko vrsta kamena. Šeher-ćehajina ćuprija ima višestruku vrijednost, ne samo kao pojedinačan spomenik graditeljstva osmanskog perioda, nego i kao neodvojiv dio ambijenta starog Sarajeva. Izvršena je rekonstrukcija, konstruktivna sanacija i restauratorsko-konzervatorski radovi, kao i rekonstrukcija izgubljenih i uništenih elemenata, tako da je nakon 2001. godine mostu vraćen autentični izgled.","Šeher-ćehajina ćuprija ima višestruku vrijednost, ne samo kao pojedinačan spomenik graditeljstva osmanskog perioda, nego i kao neodvojiv dio ambijenta starog Sarajeva.",Most ,1585. godina,Arhitekta nepoznat 
"Zgrada Prve gimnazije, Zgrada Osnovne škole (Učiteljska škola) i Zgrada Srednje škole primjenjenih umjetnosti",Graditeljska cjelina školskih zgrada iz Gimnazijske ulice u Sarajevu,"School buildings in Gimnazijska Street, the architectural ensemble",Sarajevo - Centar ,"Prva gimnazija, Gimnazijska br. 3;Osnovna škola „Safet-beg Bašagić“, Gimnazijska br. 1; Srednja škola primjenjenih umjetnosti, Gimnazijska br. 11,71000 Sarajevo","43.8572746 N
18.4236306 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3336?return=&page=4&search=idgrad:undefined:86|,11/3/2011,"A, B, C(i,ii,iii,iv,v), D(iii), E(v), F(ii,iii), G(i,ii,iii,v), I(i,ii,iii,iv)","Graditeljska cjelina predstavlja najstariju i najočuvaniju graditeljsku cjelinu školskih zgrada iz austrougarskog perioda u Bosni i Hercegovini. Graditeljsku cjelinu sačinjavaju 3 zgrade: Prva muška realna gimnazija (Državna klasična gimnazija, Prva klasična gimnazija, Prva gimnazija), Učiteljska škola sa osnovnom školom i konviktom (Muška preparandija, Preparandija, Muška učiteljska škola, Trgovačka akademija, Osnovna škola ”Veselin Masleša”, Osnovna škola “Safvet-beg Bašagić“) i Mala realka (Ženska učiteljska škola, Mješovita učiteljska škola, Umjetnička škola). Iz školskih klupa Prve gimnazije koja pripada graditeljskoj cjelini izašla su jedina dva dobitnika Nobelove nagrade u Bosni i Hercegovini – pisac Ivo Andrić i hemičar Vladimir Prelog. Graditeljska cjelina je izgrađena u istoricističkom, pretežno neorenesansnom maniru, a posjeduje veliku ambijentalnu vrijednost u sklopu centralnog gradskog jezgra.",Graditeljska cjelina predstavlja najstariju i najočuvaniju graditeljsku cjelinu školskih zgrada iz austrougarskog perioda u Bosni i Hercegovini.,Obrazovni objekti,"1890/91. godina (Prva gimnazija)
1890/91. godine (Osnovna škola „Safvet-beg Bašagić“) 
1906. godina (Srednja škola primjenjenih umjetnosti)","Prva gimnazija – Karel Pařík i August Butscha
Osnovna škola – Karel Pařík i Carlo Panek
Srednja škola primjenjenih umjetnosti – Carlo Panek"
Spomen-park Vraca,Graditeljska cjelina – Spomen-park Vraca u Sarajevu,"Vraca Memorial Park, the architectural ensemble",Sarajevo - Novo Sarajevo,"Ulice: Husinjska, Derviša Numića, Vojvode Radomira Putnika, 71000 Sarajevo","43.8434604 N18.3974848 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2559?return=&page=3&search=idgrad:undefined:86|,5/5/2005,"B, C(iv), E(v), F(ii), G(i,ii,iii,v,vi), I(i,ii,iii)","Na Vracama su, od sredine 1941. godine pa tokom cijelog četverogodišnjeg rata, vršena stalna pogubljenja. Vršena su masovna ubijanja, a sa približavanjem kraja II svjetskog rata ubijanja su postala intenzivnija. Poslije II svjetskog rata, tvrđava na Vracama je bila napušteni vojni objekat. Budući da su Vraca, stratište i gubilište u gradu Sarajevu, postala sinonim otpora i borbe građana protiv fašizma, na ovom mjestu je izgrađen Spomen-park, a tvrđavi iz austrougarskog perioda je data muzejska namjena. Memorijalni kompleks Spomen-park Vraca na Vracama posjeduje kulturno-istorijske, umjetničke, arhitektonske i pejzažne vrijednosti i predstavlja i kompleks dokumentarne vrijednosti - pojedinačnim obilježjima ispisana je jedna epoha iz novije istorije grada. Tokom ratnog perioda (1992. do 1995. godine) postavka Spomen-parka Vraca je uništena. Prostor Spomen-parka je devastiran. ","Memorijalni kompleks Spomen-park Vraca na Vracama posjeduje kulturno-istorijske, umjetničke, arhitektonske i pejzažne vrijednosti i predstavlja i kompleks dokumentarne vrijednosti.","Park, memorijalni kompleks",1981. godine,"Arhitekta: Vladimir Dobrović
Skulptor: Alija Kučukalić
Pejzažista: Aleksandr Maltarić"
Džidžikovac,Graditeljska cjelina – Stambeni kompleks na Džidžikovcu u Sarajevu,"Residential complex on Džidžikovac, the architectural ensemble",Sarajevo - Centar ,"Džidžikovac, 71000 SarajevoKompleks stambenih objekata omeđen je: sa jugoistoka ulicom Džidžikovac, sa sjevera Hadži-Idrizovom ulicom i sa juga Ulicom Mehmed-bega kapetana Ljubušaka","43.8613357 N
18.4152973 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3007?return=&page=3&search=idgrad:undefined:86|,30/1/2008,"A, C(iii,iv), D(iii), F(i,ii,iii), G(i,iii,v), H(ii), I(i,ii,iii)","Braća Muhamed i Reuf Kadić, autori projekta, predstavljaju istaknute stvaraoce, koji među prvima uvode ideje moderne u arhitekturu Sarajeva prije Drugog svjetskog rata. Stambeni kompleks na Džidžikovcu je jedan od prvih građevinskih projekata izvedenih nakon Drugog svjetskog rata i se sastoji od osam kaskadnih objekata, dimenzija 25m x 10m, postavljenih približno u smjeru istok-zapad. Za razliku od prijašnje standardne stambene arhitekture, sporedne prostorije (kupaonica, nužnik i ostava) nisu koncentrirane u predsoblju, već su kao prostorije intimnijeg karaktera raspoređene oko posebnog “gospodarskog predsoblja”, u koje se dolazi kroz kuhinju ili dnevnu sobu. Stambeni kompleks se nalazi u dobrom konstruktivnom stanju, izuzev zapadnog bloka srednjeg niza.",Stambeni kompleks na Džidžikovcu je jedan od prvih građevinskih projekata izvedenih nakon Drugog svjetskog rata koji se sastoji od osam kaskadnih objekata.,Stambeni objekti ,1947. godina,Muhamed Kadić i Reuf Kadić
Stambeni objekat u ulici Višnjik,Istorijska građevina – Stambeni objekat u ulici Višnjik 16 u Sarajevu,Historic building - Residential building in Visnjik street,Sarajevo - Centar ,"Višnjik br. 16, 71000 Sarajevo","43.8653367 N
18.4166992 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3924?return=&page=3&search=idgrad:undefined:86|,05/11/2015,Decision is not available online ,Decision is not available online ,,Decision is not available online ,Decision is not available online ,Decision is not available online 
Crni Vrh,Građevinska cjelina – Stambeno naselje Crni Vrh u Sarajevu,"Crni Vrh development, the architectural ensemble",Sarajevo - Centar ,"Kalemova i Kranjčevićeva ulica, 71000 Sarajevo","43.8613238 N
18.4073567 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3374?return=&page=3&search=idgrad:undefined:86|,27/3/2012,"A, B, C(i,ii,iii,iv,v), D(ii,iii,v), E(v), F(ii,iii), G(i,ii,iii,v), H(i), I(i,ii,iii)","Stambeno naselje – Crni Vrh u Sarajevu predstavlja jedino planski građeno naselje iz perioda između dva svjetska rata u Sarajevu, koje je izvedeno u duhu moderne. Sagrađeno je sredstvima Željezničarske kreditne i potporne zadruge osnovane 1923. godine u Sarajevu i Stambene zadruge koja je osnovana 1925. godine sa zadatkom ublažavanja socijalne bijede željezničara. Crni Vrh je regulacionim planom isparcelisan na 93 građevne parcele. U projektovanju pojedinačnih objekata učestvovali su značajni predstavnici moderne sa područja tadašnje Kraljevine Jugoslavije: Dušan Smiljanić, Franjo Lavrenčić, Bruno Tartalja, Danilo Kocijan, Franc Novak, Mate Bajlon i Stjepan Planić. U sklopu naselja nalazi se i vila u kojoj je živio Mate Bajlon. Planska osnova naselja je uglavnom očuvana, a karakteristično je da je regulacioni plan poštovan i kasnijim izvedbama nakon Drugog svjetskog rata.","Stambeno naselje – Crni Vrh u Sarajevu predstavlja jedino planski građeno naselje iz perioda između dva svjetska rata u Sarajevu, koje je izvedeno u duhu moderne.",Stambeni objekti,1933. godina,Grupa arhitekata 
Trgovačko-transportno akcionarsko društvo,Istorijska građevina – Stambeno-poslovna zgrada (Nekadašnja upravna zgrada Trgovačko-transportnog akcionarskog društva) u ulici Mula Mustafe Bašeskije broj 5 u Sarajevu,Historical mixed residential and commercial use building at no. 5 Mula Mustafa Bašeskija Street in Sarajevo (the former office building of the Trading and Transport Shareholding Company) ,Sarajevo - Centar ," Mula Mustafe Bašeskije br. 5, 71000 Sarajevo","43.85926 N18.4227238 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3835?return=&page=3&search=idgrad:undefined:86|,17/6/2014,"A, C(i,ii,iii,iv,v,vi), D(iii), F(ii), G(i,ii), H(iii), I(ii)","Upravna zgrada Trgovačko-transportnog akcionarskog društva u Sarajevu predstavlja jedno od najranijih secesijskih ostvarenja u Bosni i Hercegovini. Upravna zgrada ima visoku ambijentalnu vrijednost u centralnom dijelu grada, i izvedena je u nizu istoricističkih i secesijskih objekata iz austrougarskog perioda u ulici Mula Mustafe Bašeskije. U stubištu su očuvani originalni metalni kapci i dio originalne stubišne ograde u nivou drugog sprata i potkrovlja. Bogatstvu ornamenta secesionističke fasade doprinose i prozorski otvori okulari iznad tri prozorska otvora središnjeg fasadnog platna i lučno završeni prozorski otvori iznad prozorskih otvora na bočnim fasadnim platnima. Savremenim intervencijama integritet objekta je ugrožen.","Upravna zgrada ima visoku ambijentalnu vrijednost u centralnom dijelu grada, i izvedena je u nizu istoricističkih i secesijskih objekata iz austrougarskog perioda.",Stameno-poslovni objekat,1930. godina,Josip pl. Vancaš
Stambeno-poslovna zgrada u ulici Maršala Tita broj 27,Istorijska građevina – Stambeno-poslovna zgrada u ulici Maršala Tita broj 27 u Sarajevu,"Historical ensemble – Residental and business area at 27 Maršala Tita street in Sarajevo, Municipality Centar Sarajevo, FBiH ",Sarajevo - Centar ,"Maršala Tita br. 27, 71000 Sarajevo","43.8590297 N
18.4205068 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3903?return=&page=3&search=idgrad:undefined:86|,5/11/2014,"A, C(i,ii,iii,iv,v,vi), F(ii), G(i,ii), I(i,ii,iii)","Stambeno-poslovna zgrada u ulici Maršala Tita br. 27 u Sarajevu predstavlja secesijsko ostvarenje s početka XX vijeka koje je do danas zadržalo stambeno-poslovnu funkciju. Objekat ima visoku ambijentalnu vrijednost u centralnom dijelu grada, i izveden je u nizu istoricističkih i secesijskih objekata iz austrougarskog perioda, kao i objekata izvedenih u duhu moderne iz perioda između dva svjetska rata u ulici Maršala Tita. Južna fasada zgrade je asimetrična, podijeljena na uži i širi dio te raščlanjena u četiri horizontalna niza koji se razlikuju prema dekorativnim motivima. U stilskom oblikovanju, projektant je koristio dekorativne elemente secesije.",Stambeno-poslovna zgrada u ulici Maršala Tita br. 27 u Sarajevu predstavlja secesijsko ostvarenje s početka XX vijeka koje je do danas zadržalo stambeno-poslovnu funkciju.,Stameno-poslovni objekat,između 1903. i 1906. godine,Arhitekta nepoznat
